time,P,G(i),H_sun,T2m,WS10m,Int
20140113:0010,0.0,0.0,0.0,7.58,1.1,0.0
20140113:0110,0.0,0.0,0.0,7.29,1.18,0.0
20140113:0210,0.0,0.0,0.0,6.99,1.25,0.0
20140113:0310,0.0,0.0,0.0,6.7,1.32,0.0
20140113:0410,0.0,0.0,0.0,6.4,1.3,0.0
20140113:0510,0.0,0.0,0.0,6.09,1.28,0.0
20140113:0610,0.0,2.84,2.54,5.79,1.26,0.0
20140113:0710,9140800.0,82.33,11.94,7.69,1.04,0.0
20140113:0810,6158400.0,60.54,19.85,9.59,0.82,0.0
20140113:0910,16560000.0,138.29,25.67,11.5,0.61,0.0
20140113:1010,17363200.0,144.73,28.78,12.35,0.63,0.0
20140113:1110,8632000.0,80.41,28.76,13.2,0.65,0.0
20140113:1210,8472000.0,79.46,25.61,14.05,0.68,0.0
20140113:1310,4611200.0,49.19,19.76,13.25,0.58,0.0
20140113:1410,6430400.0,63.34,11.83,12.44,0.49,0.0
20140113:1510,0.0,0.0,0.0,11.64,0.4,0.0
20140113:1610,0.0,0.0,0.0,10.51,0.67,0.0
20140113:1710,0.0,0.0,0.0,9.38,0.93,0.0
20140113:1810,0.0,0.0,0.0,8.25,1.2,0.0
20140113:1910,0.0,0.0,0.0,7.72,1.04,0.0
20140113:2010,0.0,0.0,0.0,7.19,0.88,0.0
20140113:2110,0.0,0.0,0.0,6.66,0.72,0.0
20140113:2210,0.0,0.0,0.0,6.61,0.65,0.0
20140113:2310,0.0,0.0,0.0,6.55,0.58,0.0
20140114:0010,0.0,0.0,0.0,6.5,0.51,0.0
20140114:0110,0.0,0.0,0.0,6.63,0.55,0.0
20140114:0210,0.0,0.0,0.0,6.77,0.59,0.0
20140114:0310,0.0,0.0,0.0,6.9,0.63,0.0
20140114:0410,0.0,0.0,0.0,6.74,0.63,0.0
20140114:0510,0.0,0.0,0.0,6.57,0.62,0.0
20140114:0610,4088000.0,47.45,2.6,6.41,0.61,0.0
20140114:0710,26206400.0,205.31,12.02,8.03,0.56,0.0
20140114:0810,53200000.0,400.07,19.96,9.65,0.51,1.0
20140114:0910,80449600.0,618.15,25.81,11.28,0.46,0.0
20140114:1010,52620800.0,401.86,28.94,12.06,0.73,0.0
20140114:1110,63724800.0,486.7,28.94,12.83,1.0,0.0
20140114:1210,34963200.0,272.46,25.8,13.61,1.27,0.0
20140114:1310,42905600.0,329.36,19.95,13.32,1.29,0.0
20140114:1410,13569600.0,116.96,12.01,13.02,1.31,0.0
20140114:1510,0.0,3.78,2.59,12.73,1.34,0.0
20140114:1610,0.0,0.0,0.0,11.63,1.17,0.0
20140114:1710,0.0,0.0,0.0,10.53,1.0,0.0
20140114:1810,0.0,0.0,0.0,9.42,0.83,0.0
20140114:1910,0.0,0.0,0.0,9.19,0.94,0.0
20140114:2010,0.0,0.0,0.0,8.96,1.05,0.0
20140114:2110,0.0,0.0,0.0,8.72,1.16,0.0
20140114:2210,0.0,0.0,0.0,8.88,1.19,0.0
20140114:2310,0.0,0.0,0.0,9.03,1.21,0.0
20140115:0010,0.0,0.0,0.0,9.19,1.24,0.0
20140115:0110,0.0,0.0,0.0,9.16,1.27,0.0
20140115:0210,0.0,0.0,0.0,9.13,1.3,0.0
20140115:0310,0.0,0.0,0.0,9.1,1.32,0.0
20140115:0410,0.0,0.0,0.0,9.1,1.12,0.0
20140115:0510,0.0,0.0,0.0,9.1,0.92,0.0
20140115:0610,0.0,3.78,2.67,9.1,0.72,0.0
20140115:0710,8632000.0,79.34,12.11,9.9,0.48,0.0
20140115:0810,18512000.0,151.78,20.07,10.7,0.25,0.0
20140115:0910,23524800.0,189.08,25.95,11.5,0.01,0.0
20140115:1010,22393600.0,181.07,29.11,11.81,0.4,0.0
20140115:1110,14417600.0,122.98,29.13,12.13,0.78,0.0
20140115:1210,15572800.0,131.49,26.0,12.44,1.16,0.0
20140115:1310,10185600.0,91.76,20.15,12.34,0.86,0.0
20140115:1410,7044800.0,68.03,12.21,12.23,0.57,0.0
20140115:1510,257600.0,9.46,2.78,12.13,0.28,0.0
20140115:1610,0.0,0.0,0.0,11.78,0.51,0.0
20140115:1710,0.0,0.0,0.0,11.43,0.74,0.0
20140115:1810,0.0,0.0,0.0,11.07,0.97,0.0
20140115:1910,0.0,0.0,0.0,10.9,0.74,0.0
20140115:2010,0.0,0.0,0.0,10.73,0.52,0.0
20140115:2110,0.0,0.0,0.0,10.55,0.3,0.0
20140115:2210,0.0,0.0,0.0,10.37,0.57,0.0
20140115:2310,0.0,0.0,0.0,10.18,0.83,0.0
20140116:0010,0.0,0.0,0.0,10.0,1.09,0.0
20140116:0110,0.0,0.0,0.0,10.14,1.12,0.0
20140116:0210,0.0,0.0,0.0,10.29,1.14,0.0
20140116:0310,0.0,0.0,0.0,10.43,1.17,0.0
20140116:0410,0.0,0.0,0.0,10.08,1.13,0.0
20140116:0510,0.0,0.0,0.0,9.72,1.08,0.0
20140116:0610,1660800.0,25.19,2.74,9.37,1.03,0.0
20140116:0710,23732800.0,189.41,12.21,10.71,1.06,0.0
20140116:0810,30480000.0,238.02,20.19,12.06,1.08,0.0
20140116:0910,18526400.0,153.6,26.1,13.41,1.1,0.0
20140116:1010,34139200.0,267.3,29.29,13.78,1.19,0.0
20140116:1110,43379200.0,335.3,29.33,14.16,1.27,0.0
20140116:1210,50403200.0,387.3,26.2,14.53,1.35,0.0
20140116:1310,25896000.0,207.04,20.35,14.3,1.21,0.0
20140116:1410,25545600.0,205.39,12.4,14.06,1.08,0.0
20140116:1510,2262400.0,31.49,2.97,13.83,0.94,0.0
20140116:1610,0.0,0.0,0.0,12.59,1.22,0.0
