time,P,G(i),H_sun,T2m,WS10m,Int
20140721:0410,2590720.0,50.68,8.8,25.17,0.54,0.0
20140721:0510,11404320.0,190.59,19.76,25.44,0.4,0.0
20140721:0610,27810680.0,407.48,31.04,25.7,0.26,0.0
20140721:0710,44003600.0,636.73,42.35,26.85,0.68,0.0
20140721:0810,56445680.0,831.22,53.27,28.0,1.1,0.0
20140721:0910,63920680.0,956.33,62.9,29.15,1.52,0.0
20140721:1010,67551000.0,1023.23,69.05,29.9,1.6,0.0
20140721:1110,67357800.0,1022.26,68.35,30.66,1.67,0.0
20140721:1210,63264720.0,952.09,61.32,31.41,1.75,0.0
20140721:1310,54331520.0,794.06,51.35,31.23,2.43,0.0
20140721:1410,41708200.0,599.63,40.32,31.06,3.11,0.0
20140721:1510,25271480.0,376.62,28.98,30.88,3.79,0.0
20140721:1610,8570720.0,161.16,17.74,29.76,3.22,0.0
20140721:1710,1836320.0,39.82,6.87,28.63,2.65,0.0
20140721:1810,0.0,0.0,0.0,27.5,2.08,0.0
20140721:1910,0.0,0.0,0.0,26.99,2.0,0.0
20140721:2010,0.0,0.0,0.0,26.47,1.91,0.0
20140721:2110,0.0,0.0,0.0,25.96,1.82,0.0
20140721:2210,0.0,0.0,0.0,25.66,1.75,0.0
20140721:2310,0.0,0.0,0.0,25.37,1.68,0.0
20140722:0010,0.0,0.0,0.0,25.07,1.61,0.0
20140722:0110,0.0,0.0,0.0,25.11,1.72,0.0
20140722:0210,0.0,0.0,0.0,25.14,1.83,0.0
20140722:0310,0.0,0.0,0.0,25.18,1.93,0.0
20140722:0410,1930160.0,40.73,8.66,25.09,1.59,0.0
20140722:0510,11257120.0,184.72,19.63,25.0,1.24,0.0
20140722:0610,24165640.0,349.36,30.92,24.9,0.9,0.0
20140722:0710,12244280.0,183.52,42.23,25.68,1.35,0.0
20140722:0810,47328480.0,676.91,53.13,26.46,1.81,0.0
20140722:0910,46878600.0,671.72,62.74,27.24,2.26,0.0
20140722:1010,31838440.0,453.81,68.85,26.54,1.99,0.0
20140722:1110,9934160.0,152.3,68.17,25.83,1.72,0.0
20140722:1210,62872800.0,918.64,61.18,25.13,1.45,0.0
20140722:1310,54404200.0,778.36,51.23,24.48,1.45,0.0
20140722:1410,35666560.0,501.6,40.21,23.82,1.45,0.0
20140722:1510,14453200.0,211.53,28.88,23.17,1.45,0.0
20140722:1610,765440.0,21.76,17.63,22.82,1.2,0.0
20140722:1710,463680.0,16.29,6.75,22.47,0.95,0.0
20140722:1810,0.0,0.0,0.0,22.12,0.7,0.0
20140722:1910,0.0,0.0,0.0,22.28,1.39,0.0
20140722:2010,0.0,0.0,0.0,22.43,2.08,0.0
20140722:2110,0.0,0.0,0.0,22.59,2.77,0.0
20140722:2210,0.0,0.0,0.0,22.64,2.46,0.0
20140722:2310,0.0,0.0,0.0,22.7,2.16,0.0
20140723:0010,0.0,0.0,0.0,22.76,1.85,0.0
20140723:0110,0.0,0.0,0.0,22.13,1.76,0.0
20140723:0210,0.0,0.0,0.0,21.49,1.66,0.0
20140723:0310,0.0,0.0,0.0,20.86,1.57,0.0
20140723:0410,1266840.0,29.87,8.53,20.96,1.6,0.0
20140723:0510,8614880.0,133.81,19.5,21.06,1.64,0.0
20140723:0610,24015680.0,339.13,30.79,21.16,1.67,0.0
20140723:0710,39566440.0,550.0,42.1,21.65,1.55,0.0
20140723:0810,56568040.0,802.45,52.99,22.14,1.43,0.0
20140723:0910,62365880.0,901.42,62.57,22.63,1.31,0.0
20140723:1010,55931400.0,805.21,68.66,22.89,1.2,0.0
20140723:1110,41068800.0,582.33,67.98,23.15,1.08,0.0
20140723:1210,17361320.0,250.68,61.03,23.41,0.97,0.0
20140723:1310,7922120.0,123.92,51.11,23.11,0.73,0.0
20140723:1410,7225680.0,114.46,40.1,22.82,0.5,0.0
20140723:1510,3245760.0,59.6,28.77,22.52,0.26,0.0
20140723:1610,713920.0,20.81,17.51,22.15,0.41,0.0
20140723:1710,1316520.0,30.77,6.63,21.78,0.56,0.0
20140723:1810,0.0,0.0,0.0,21.4,0.7,0.0
20140723:1910,0.0,0.0,0.0,21.42,0.98,0.0
20140723:2010,0.0,0.0,0.0,21.44,1.26,0.0
20140723:2110,0.0,0.0,0.0,21.46,1.54,0.0
20140723:2210,0.0,0.0,0.0,21.45,1.58,0.0
20140723:2310,0.0,0.0,0.0,21.45,1.62,0.0
20140724:0010,0.0,0.0,0.0,21.44,1.66,0.0
20140724:0110,0.0,0.0,0.0,21.38,1.86,0.0
20140724:0210,0.0,0.0,0.0,21.33,2.07,0.0
20140724:0310,0.0,0.0,0.0,21.27,2.28,0.0
20140724:0410,2646840.0,50.68,8.39,21.5,2.61,0.0
20140724:0510,11481600.0,191.4,19.37,21.74,2.95,0.0
20140724:0610,29205400.0,411.23,30.66,21.97,3.28,0.0
20140724:0710,46120520.0,635.09,41.97,23.1,3.51,0.0
20140724:0810,59290320.0,826.95,52.85,24.22,3.74,0.0
20140724:0910,67840800.0,961.68,62.4,25.34,3.97,0.0
20140724:1010,68320120.0,980.65,68.45,26.05,3.58,0.0
20140724:1110,65275840.0,941.93,67.79,26.75,3.18,0.0
20140724:1210,63177320.0,914.47,60.88,27.46,2.79,0.0
20140724:1310,44228080.0,627.07,50.98,27.18,2.73,0.0
20140724:1410,41817680.0,590.92,39.98,26.91,2.68,0.0
20140724:1510,25518040.0,374.28,28.65,26.63,2.62,0.0
