time,P,G(i),H_sun,T2m,WS10m,Int
20140713:0610,20331600.0,445.27,32.87,23.61,1.45,0.0
20140713:0710,30343200.0,658.19,44.16,24.65,1.6,0.0
20140713:0810,36862800.0,813.32,55.05,25.68,1.75,0.0
20140713:0910,31845600.0,702.28,64.62,26.72,1.9,0.0
20140713:1010,35426400.0,790.38,70.45,26.81,1.69,0.0
20140713:1110,34669200.0,774.95,69.0,26.89,1.48,0.0
20140713:1210,40609800.0,921.23,61.39,26.98,1.27,0.0
20140713:1310,31469400.0,694.75,51.17,26.77,1.41,0.0
20140713:1410,1738800.0,52.03,40.06,26.56,1.55,0.0
20140713:1510,10955400.0,247.53,28.75,26.35,1.7,0.0
20140713:1610,5445600.0,137.67,17.59,25.26,1.74,0.0
20140713:1710,1226400.0,39.82,6.87,24.18,1.78,0.0
20140713:1810,0.0,0.0,0.0,23.09,1.82,0.0
20140713:1910,0.0,0.0,0.0,22.81,1.53,0.0
20140713:2010,0.0,0.0,0.0,22.53,1.23,0.0
20140713:2110,0.0,0.0,0.0,22.25,0.94,0.0
20140713:2210,0.0,0.0,0.0,22.1,0.94,0.0
20140713:2310,0.0,0.0,0.0,21.96,0.95,0.0
20140714:0010,0.0,0.0,0.0,21.81,0.95,0.0
20140714:0110,0.0,0.0,0.0,21.59,1.1,0.0
20140714:0210,0.0,0.0,0.0,21.38,1.25,0.0
20140714:0310,0.0,0.0,0.0,21.16,1.39,0.0
20140714:0410,2382000.0,65.16,10.59,22.07,1.3,0.0
20140714:0510,8721000.0,217.04,21.51,22.97,1.21,0.0
20140714:0610,20141400.0,442.96,32.76,23.88,1.12,0.0
20140714:0710,24510600.0,531.29,44.05,24.58,1.32,0.0
20140714:0810,31335600.0,686.43,54.93,25.29,1.52,0.0
20140714:0910,30699000.0,674.8,64.48,25.99,1.72,0.0
20140714:1010,39983400.0,902.95,70.3,26.12,1.4,0.0
20140714:1110,26442000.0,583.94,68.88,26.24,1.08,0.0
20140714:1210,25565400.0,565.91,61.3,26.37,0.76,0.0
20140714:1310,10405200.0,234.7,51.1,26.27,1.0,0.0
20140714:1410,13803000.0,305.35,40.0,26.17,1.24,0.0
20140714:1510,2253000.0,63.38,28.69,26.07,1.48,0.0
20140714:1610,4721400.0,117.8,17.52,25.07,1.6,0.0
20140714:1710,1073400.0,36.2,6.79,24.07,1.73,0.0
20140714:1810,0.0,0.0,0.0,23.06,1.86,0.0
20140714:1910,0.0,0.0,0.0,22.73,1.78,0.0
20140714:2010,0.0,0.0,0.0,22.4,1.7,0.0
20140714:2110,0.0,0.0,0.0,22.06,1.61,0.0
20140714:2210,0.0,0.0,0.0,21.8,1.71,0.0
20140714:2310,0.0,0.0,0.0,21.55,1.82,0.0
20140715:0010,0.0,0.0,0.0,21.29,1.92,0.0
20140715:0110,0.0,0.0,0.0,21.1,1.77,0.0
20140715:0210,0.0,0.0,0.0,20.9,1.61,0.0
20140715:0310,0.0,0.0,0.0,20.71,1.46,0.0
20140715:0410,273600.0,15.39,10.48,21.39,1.51,0.0
20140715:0510,647400.0,25.54,21.4,22.07,1.56,0.0
20140715:0610,1605000.0,48.24,32.65,22.75,1.61,0.0
20140715:0710,10315200.0,229.08,43.94,23.52,1.81,0.0
20140715:0810,16396200.0,355.73,54.81,24.3,2.01,0.0
20140715:0910,26563800.0,575.53,64.34,25.07,2.21,0.0
20140715:1010,19644600.0,426.14,70.14,25.19,2.24,0.0
20140715:1110,4445400.0,109.73,68.74,25.32,2.28,0.0
20140715:1210,20746800.0,449.51,61.2,25.44,2.32,0.0
20140715:1310,24436800.0,527.88,51.02,25.33,2.22,0.0
20140715:1410,23933400.0,516.91,39.93,25.22,2.12,0.0
20140715:1510,7419600.0,171.29,28.62,25.12,2.03,0.0
20140715:1610,5571000.0,147.69,17.45,24.2,2.03,0.0
