time,P,G(i),H_sun,T2m,WS10m,Int
20140107:2110,0.0,0.0,0.0,2.97,1.13,0.0
20140107:2210,0.0,0.0,0.0,2.21,1.26,0.0
20140107:2310,0.0,0.0,0.0,1.46,1.38,0.0
20140108:0010,0.0,0.0,0.0,0.71,1.5,0.0
20140108:0110,0.0,0.0,0.0,0.74,1.42,0.0
20140108:0210,0.0,0.0,0.0,0.77,1.34,0.0
20140108:0310,0.0,0.0,0.0,0.8,1.26,0.0
20140108:0410,0.0,0.0,0.0,0.46,1.23,0.0
20140108:0510,0.0,0.0,0.0,0.12,1.21,0.0
20140108:0610,0.0,0.0,0.0,-0.22,1.19,0.0
20140108:0710,10695200.0,120.38,10.72,2.22,0.86,0.0
20140108:0810,19590080.0,206.78,18.4,4.65,0.53,0.0
20140108:0910,24015480.0,252.96,24.02,7.08,0.21,0.0
20140108:1010,23188400.0,246.53,27.01,8.52,0.43,0.0
20140108:1110,25988640.0,275.45,26.96,9.96,0.66,0.0
20140108:1210,32882520.0,345.45,23.9,11.4,0.88,0.0
20140108:1310,42043040.0,437.41,18.21,10.5,0.93,0.0
20140108:1410,18684120.0,203.69,10.48,9.61,0.98,0.0
20140108:1510,0.0,0.0,0.0,8.71,1.03,0.0
20140108:1610,0.0,0.0,0.0,7.68,1.16,0.0
20140108:1710,0.0,0.0,0.0,6.65,1.29,0.0
20140108:1810,0.0,0.0,0.0,5.62,1.42,0.0
20140108:1910,0.0,0.0,0.0,4.26,1.42,0.0
20140108:2010,0.0,0.0,0.0,2.91,1.42,0.0
20140108:2110,0.0,0.0,0.0,1.56,1.42,0.0
20140108:2210,0.0,0.0,0.0,0.98,1.53,0.0
20140108:2310,0.0,0.0,0.0,0.41,1.64,0.0
20140109:0010,0.0,0.0,0.0,-0.16,1.75,0.0
20140109:0110,0.0,0.0,0.0,-0.54,1.56,0.0
20140109:0210,0.0,0.0,0.0,-0.92,1.37,0.0
20140109:0310,0.0,0.0,0.0,-1.29,1.19,0.0
20140109:0410,0.0,0.0,0.0,-1.78,1.18,0.0
20140109:0510,0.0,0.0,0.0,-2.27,1.17,0.0
20140109:0610,0.0,0.0,0.0,-2.76,1.16,0.0
20140109:0710,28072000.0,286.41,10.77,0.64,0.83,0.0
20140109:0810,47674840.0,483.63,18.47,4.04,0.51,0.0
20140109:0910,61061240.0,639.31,24.12,7.43,0.18,0.0
20140109:1010,79318480.0,856.26,27.13,8.98,0.39,0.0
20140109:1110,78949600.0,854.53,27.11,10.52,0.6,0.0
20140109:1210,69630160.0,745.71,24.06,12.06,0.81,0.0
20140109:1310,57421160.0,606.84,18.38,11.63,0.72,0.0
20140109:1410,27630040.0,296.38,10.65,11.21,0.62,0.0
20140109:1510,0.0,0.0,0.0,10.78,0.52,0.0
20140109:1610,0.0,0.0,0.0,9.29,0.52,0.0
20140109:1710,0.0,0.0,0.0,7.8,0.51,0.0
20140109:1810,0.0,0.0,0.0,6.31,0.51,0.0
20140109:1910,0.0,0.0,0.0,4.7,0.51,0.0
20140109:2010,0.0,0.0,0.0,3.09,0.51,0.0
20140109:2110,0.0,0.0,0.0,1.48,0.51,0.0
20140109:2210,0.0,0.0,0.0,1.09,0.51,0.0
20140109:2310,0.0,0.0,0.0,0.7,0.51,0.0
20140110:0010,0.0,0.0,0.0,0.31,0.51,0.0
20140110:0110,0.0,0.0,0.0,-0.71,0.53,0.0
20140110:0210,0.0,0.0,0.0,-1.74,0.55,0.0
20140110:0310,0.0,0.0,0.0,-2.76,0.57,0.0
20140110:0410,0.0,0.0,0.0,-2.51,0.55,0.0
20140110:0510,0.0,0.0,0.0,-2.25,0.53,0.0
20140110:0610,0.0,0.0,0.0,-2.0,0.51,0.0
20140110:0710,31764280.0,323.36,10.83,0.68,0.51,0.0
20140110:0810,55301840.0,561.69,18.56,3.36,0.5,0.0
20140110:0910,59421000.0,613.29,24.23,6.03,0.5,0.0
20140110:1010,43085880.0,442.92,27.27,7.4,0.77,0.0
20140110:1110,70357480.0,739.08,27.27,8.76,1.04,0.0
20140110:1210,66564280.0,697.58,24.23,10.13,1.31,0.0
20140110:1310,45061360.0,464.78,18.55,9.02,1.11,0.0
20140110:1410,13966400.0,155.56,10.82,7.91,0.91,0.0
20140110:1510,0.0,0.0,0.0,6.8,0.72,0.0
20140110:1610,0.0,0.0,0.0,5.57,0.99,0.0
20140110:1710,0.0,0.0,0.0,4.35,1.27,0.0
