time,P,G(i),H_sun,T2m,WS10m,Int
20140406:1210,6107200.0,106.9,50.51,13.53,3.99,0.0
20140406:1310,20567200.0,316.06,41.62,13.64,4.17,0.0
20140406:1410,8954400.0,148.52,31.08,13.75,4.36,0.0
20140406:1510,853600.0,24.6,19.75,13.85,4.55,0.0
20140406:1610,58400.0,7.57,8.13,13.92,3.93,0.0
20140406:1710,0.0,0.0,0.0,13.99,3.31,0.0
20140406:1810,0.0,0.0,0.0,14.06,2.69,0.0
20140406:1910,0.0,0.0,0.0,13.98,3.06,0.0
20140406:2010,0.0,0.0,0.0,13.9,3.43,0.0
20140406:2110,0.0,0.0,0.0,13.82,3.79,0.0
20140406:2210,0.0,0.0,0.0,14.1,3.86,0.0
20140406:2310,0.0,0.0,0.0,14.38,3.92,0.0
20140407:0010,0.0,0.0,0.0,14.65,3.99,0.0
20140407:0110,0.0,0.0,0.0,14.65,4.49,0.0
20140407:0210,0.0,0.0,0.0,14.65,4.99,0.0
20140407:0310,0.0,0.0,0.0,14.65,5.49,0.0
20140407:0410,0.0,0.0,0.0,14.84,5.46,0.0
20140407:0510,241600.0,12.3,11.93,15.03,5.43,0.0
20140407:0610,4171200.0,78.52,23.5,15.22,5.41,0.0
20140407:0710,5208000.0,93.65,34.67,13.96,5.39,0.0
20140407:0810,10656800.0,172.17,44.86,12.7,5.37,0.0
20140407:0910,9462400.0,154.19,53.02,11.44,5.35,0.0
20140407:1010,9259200.0,151.36,57.46,11.47,5.03,0.0
20140407:1110,28434400.0,427.03,56.6,11.49,4.71,0.0
20140407:1210,31066400.0,465.44,50.79,11.52,4.39,0.0
20140407:1310,19502400.0,298.3,41.85,11.85,4.21,0.0
20140407:1410,28775200.0,432.85,31.28,12.18,4.03,0.0
20140407:1510,17271200.0,276.63,19.93,12.51,3.85,0.0
20140407:1610,2749600.0,60.62,8.31,12.44,2.7,0.0
20140407:1710,0.0,0.0,0.0,12.37,1.55,0.0
20140407:1810,0.0,0.0,0.0,12.31,0.4,0.0
20140407:1910,0.0,0.0,0.0,11.91,0.73,0.0
20140407:2010,0.0,0.0,0.0,11.51,1.05,0.0
20140407:2110,0.0,0.0,0.0,11.11,1.38,0.0
20140407:2210,0.0,0.0,0.0,11.03,1.6,0.0
20140407:2310,0.0,0.0,0.0,10.94,1.81,0.0
20140408:0010,0.0,0.0,0.0,10.85,2.03,0.0
20140408:0110,0.0,0.0,0.0,11.07,1.6,0.0
20140408:0210,0.0,0.0,0.0,11.29,1.18,0.0
20140408:0310,0.0,0.0,0.0,11.5,0.76,0.0
20140408:0410,0.0,0.0,0.0,12.38,0.71,0.0
20140408:0510,6180800.0,117.42,12.22,13.27,0.66,0.0
20140408:0610,4606400.0,85.14,23.8,14.15,0.61,0.0
20140408:0710,9455200.0,157.03,34.99,14.15,1.14,0.0
20140408:0810,10051200.0,165.55,45.19,14.16,1.66,0.0
20140408:0910,59812800.0,944.36,53.39,14.17,2.19,0.0
20140408:1010,63993600.0,1022.78,57.84,14.06,2.03,0.0
20140408:1110,55315200.0,872.06,56.94,13.95,1.87,0.0
20140408:1210,53190400.0,834.95,51.07,13.84,1.71,0.0
20140408:1310,48680000.0,760.75,42.08,14.16,1.37,0.0
20140408:1410,32276000.0,500.48,31.47,14.48,1.04,0.0
20140408:1510,5789600.0,103.27,20.11,14.81,0.7,0.0
20140408:1610,3241600.0,79.09,8.49,15.12,0.89,0.0
20140408:1710,0.0,0.0,0.0,15.43,1.07,0.0
20140408:1810,0.0,0.0,0.0,15.74,1.26,0.0
20140408:1910,0.0,0.0,0.0,14.52,1.48,0.0
20140408:2010,0.0,0.0,0.0,13.3,1.7,0.0
20140408:2110,0.0,0.0,0.0,12.08,1.92,0.0
20140408:2210,0.0,0.0,0.0,11.78,1.74,0.0
20140408:2310,0.0,0.0,0.0,11.48,1.57,0.0
20140409:0010,0.0,0.0,0.0,11.18,1.39,0.0
20140409:0110,0.0,0.0,0.0,11.88,1.7,0.0
20140409:0210,0.0,0.0,0.0,12.58,2.0,0.0
20140409:0310,0.0,0.0,0.0,13.27,2.3,0.0
20140409:0410,0.0,0.0,0.0,14.06,2.19,0.0
20140409:0510,6914400.0,133.13,12.51,14.85,2.07,0.0
20140409:0610,23815200.0,377.03,24.09,15.64,1.96,0.0
20140409:0710,40036000.0,620.87,35.29,16.1,1.96,0.0
20140409:0810,53236000.0,841.54,45.53,16.57,1.96,0.0
20140409:0910,61151200.0,986.96,53.75,17.04,1.96,0.0
20140409:1010,64672800.0,1061.0,58.22,17.69,1.81,0.0
20140409:1110,63912800.0,1053.62,57.28,18.33,1.66,0.0
20140409:1210,58239200.0,951.82,51.35,18.98,1.5,0.0
20140409:1310,48981600.0,783.72,42.31,19.15,1.55,0.0
20140409:1410,34084800.0,538.53,31.67,19.32,1.6,0.0
20140409:1510,10967200.0,185.43,20.29,19.49,1.66,0.0
20140409:1610,2881600.0,64.96,8.66,18.43,1.69,0.0
20140409:1710,0.0,0.0,0.0,17.37,1.73,0.0
20140409:1810,0.0,0.0,0.0,16.31,1.77,0.0
20140409:1910,0.0,0.0,0.0,15.82,1.87,0.0
20140409:2010,0.0,0.0,0.0,15.33,1.97,0.0
20140409:2110,0.0,0.0,0.0,14.84,2.07,0.0
20140409:2210,0.0,0.0,0.0,14.93,2.27,0.0
20140409:2310,0.0,0.0,0.0,15.02,2.47,0.0
20140410:0010,0.0,0.0,0.0,15.1,2.68,0.0
20140410:0110,0.0,0.0,0.0,14.95,2.14,0.0
20140410:0210,0.0,0.0,0.0,14.8,1.6,0.0
20140410:0310,0.0,0.0,0.0,14.64,1.06,0.0
20140410:0410,0.0,0.0,0.0,14.86,1.43,0.0
20140410:0510,4237600.0,81.06,12.79,15.08,1.8,0.0
20140410:0610,2996800.0,60.54,24.38,15.3,2.17,0.0
20140410:0710,28477600.0,434.62,35.6,14.31,2.93,0.0
20140410:0810,29348000.0,444.74,45.86,13.33,3.69,0.0
20140410:0910,31434400.0,472.93,54.12,12.34,4.46,0.0
20140410:1010,4038400.0,75.68,58.59,12.31,3.86,0.0
20140410:1110,17344000.0,268.98,57.63,12.28,3.26,0.0
20140410:1210,20856000.0,320.52,51.63,12.25,2.66,0.0
20140410:1310,4281600.0,79.46,42.53,12.51,2.9,0.0
20140410:1410,1906400.0,42.57,31.86,12.77,3.14,0.0
20140410:1510,1674400.0,38.79,20.47,13.03,3.38,0.0
20140410:1610,465600.0,17.03,8.84,12.73,2.76,0.0
20140410:1710,0.0,0.0,0.0,12.42,2.14,0.0
20140410:1810,0.0,0.0,0.0,12.11,1.52,0.0
20140410:1910,0.0,0.0,0.0,11.94,1.61,0.0
20140410:2010,0.0,0.0,0.0,11.78,1.7,0.0
20140410:2110,0.0,0.0,0.0,11.61,1.79,0.0
20140410:2210,0.0,0.0,0.0,11.05,2.05,0.0
20140410:2310,0.0,0.0,0.0,10.48,2.31,0.0
20140411:0010,0.0,0.0,0.0,9.91,2.57,0.0
20140411:0110,0.0,0.0,0.0,9.07,2.23,0.0
20140411:0210,0.0,0.0,0.0,8.22,1.89,0.0
20140411:0310,0.0,0.0,0.0,7.37,1.56,0.0
20140411:0410,0.0,0.0,0.0,9.01,1.37,0.0
20140411:0510,7951200.0,151.57,13.08,10.66,1.18,0.0
