time,P,G(i),H_sun,T2m,WS10m,Int
20140113:2110,0.0,0.0,0.0,-1.37,0.83,0.0
20140113:2210,0.0,0.0,0.0,-1.64,0.66,0.0
20140113:2310,0.0,0.0,0.0,-1.9,0.5,0.0
20140114:0010,0.0,0.0,0.0,-2.17,0.33,0.0
20140114:0110,0.0,0.0,0.0,-2.11,0.36,0.0
20140114:0210,0.0,0.0,0.0,-2.05,0.39,0.0
20140114:0310,0.0,0.0,0.0,-1.99,0.41,0.0
20140114:0410,0.0,0.0,0.0,-2.06,0.4,0.0
20140114:0510,0.0,0.0,0.0,-2.14,0.39,0.0
20140114:0610,0.0,0.0,0.0,-2.21,0.37,0.0
20140114:0710,14265000.0,68.78,10.96,-0.55,0.58,0.0
20140114:0810,19032000.0,87.47,18.8,1.11,0.8,1.0
20140114:0910,38046000.0,159.06,24.61,2.77,1.01,0.0
20140114:1010,75630000.0,297.78,27.78,3.52,1.51,0.0
20140114:1110,103761000.0,403.18,27.9,4.28,2.01,0.0
20140114:1210,140970000.0,545.9,24.95,5.03,2.51,0.0
20140114:1310,28653000.0,124.9,19.32,4.4,2.09,0.0
20140114:1410,11241000.0,57.92,11.61,3.77,1.67,0.0
20140114:1510,0.0,0.0,0.0,3.14,1.26,0.0
20140114:1610,0.0,0.0,0.0,2.6,1.56,0.0
20140114:1710,0.0,0.0,0.0,2.07,1.87,0.0
20140114:1810,0.0,0.0,0.0,1.53,2.18,0.0
20140114:1910,0.0,0.0,0.0,1.59,2.08,0.0
20140114:2010,0.0,0.0,0.0,1.64,1.99,0.0
20140114:2110,0.0,0.0,0.0,1.69,1.89,0.0
20140114:2210,0.0,0.0,0.0,1.94,1.86,0.0
20140114:2310,0.0,0.0,0.0,2.19,1.83,0.0
20140115:0010,0.0,0.0,0.0,2.44,1.81,0.0
20140115:0110,0.0,0.0,0.0,2.62,1.77,0.0
20140115:0210,0.0,0.0,0.0,2.79,1.73,0.0
20140115:0310,0.0,0.0,0.0,2.97,1.7,0.0
20140115:0410,0.0,0.0,0.0,3.1,1.6,0.0
20140115:0510,0.0,0.0,0.0,3.24,1.51,0.0
20140115:0610,0.0,0.0,0.0,3.37,1.42,0.0
20140115:0710,11484000.0,58.83,11.05,3.45,1.48,0.0
20140115:0810,22485000.0,101.37,18.92,3.54,1.54,0.0
20140115:0910,25701000.0,113.52,24.75,3.62,1.6,0.0
20140115:1010,17979000.0,84.19,27.95,3.58,1.56,0.0
20140115:1110,29490000.0,127.71,28.09,3.53,1.53,0.0
20140115:1210,26718000.0,117.3,25.15,3.49,1.49,0.0
20140115:1310,17274000.0,81.46,19.52,3.41,1.42,0.0
20140115:1410,10584000.0,55.21,11.81,3.32,1.34,0.0
20140115:1510,90000.0,6.34,2.59,3.24,1.27,0.0
20140115:1610,0.0,0.0,0.0,3.39,1.28,0.0
20140115:1710,0.0,0.0,0.0,3.55,1.3,0.0
20140115:1810,0.0,0.0,0.0,3.7,1.31,0.0
20140115:1910,0.0,0.0,0.0,3.84,1.33,0.0
20140115:2010,0.0,0.0,0.0,3.98,1.36,0.0
20140115:2110,0.0,0.0,0.0,4.11,1.38,0.0
20140115:2210,0.0,0.0,0.0,4.08,1.4,0.0
20140115:2310,0.0,0.0,0.0,4.06,1.42,0.0
20140116:0010,0.0,0.0,0.0,4.03,1.43,0.0
20140116:0110,0.0,0.0,0.0,4.14,1.27,0.0
20140116:0210,0.0,0.0,0.0,4.25,1.1,0.0
20140116:0310,0.0,0.0,0.0,4.36,0.94,0.0
20140116:0410,0.0,0.0,0.0,4.17,0.84,0.0
20140116:0510,0.0,0.0,0.0,3.97,0.74,0.0
20140116:0610,0.0,0.0,0.0,3.78,0.65,0.0
20140116:0710,15786000.0,76.03,11.15,4.28,0.78,0.0
20140116:0810,13218000.0,66.07,19.04,4.78,0.91,0.0
20140116:0910,164061000.0,649.48,24.9,5.28,1.03,0.0
20140116:1010,67617000.0,270.45,28.13,5.3,1.45,0.0
20140116:1110,84138000.0,331.48,28.28,5.33,1.87,0.0
20140116:1210,137109000.0,532.56,25.35,5.35,2.29,0.0
20140116:1310,20907000.0,95.94,19.72,5.11,1.85,0.0
20140116:1410,5736000.0,35.3,12.0,4.87,1.42,0.0
20140116:1510,882000.0,11.77,2.78,4.63,0.98,0.0
20140116:1610,0.0,0.0,0.0,3.8,0.76,0.0
20140116:1710,0.0,0.0,0.0,2.97,0.54,0.0
20140116:1810,0.0,0.0,0.0,2.13,0.32,0.0
20140116:1910,0.0,0.0,0.0,1.68,0.48,0.0
20140116:2010,0.0,0.0,0.0,1.22,0.65,0.0
20140116:2110,0.0,0.0,0.0,0.76,0.81,0.0
20140116:2210,0.0,0.0,0.0,0.18,0.91,0.0
20140116:2310,0.0,0.0,0.0,-0.39,1.0,0.0
20140117:0010,0.0,0.0,0.0,-0.97,1.09,0.0
20140117:0110,0.0,0.0,0.0,-0.95,1.36,0.0
20140117:0210,0.0,0.0,0.0,-0.92,1.63,0.0
20140117:0310,0.0,0.0,0.0,-0.9,1.9,0.0
20140117:0410,0.0,0.0,0.0,-0.88,1.88,0.0
20140117:0510,0.0,0.0,0.0,-0.85,1.86,0.0
20140117:0610,0.0,0.0,0.0,-0.83,1.83,0.0
20140117:0710,9384000.0,49.78,11.25,0.37,1.57,0.0
20140117:0810,15774000.0,75.12,19.17,1.57,1.3,0.0
20140117:0910,191556000.0,757.04,25.06,2.77,1.03,0.0
20140117:1010,208500000.0,834.47,28.31,3.68,1.11,0.0
20140117:1110,210510000.0,846.3,28.48,4.58,1.18,0.0
20140117:1210,204870000.0,822.77,25.56,5.49,1.26,0.0
20140117:1310,15978000.0,76.93,19.93,4.96,1.31,0.0
20140117:1410,6168000.0,37.11,12.2,4.44,1.37,0.0
20140117:1510,1362000.0,14.48,2.97,3.91,1.43,0.0
20140117:1610,0.0,0.0,0.0,2.59,1.52,0.0
20140117:1710,0.0,0.0,0.0,1.27,1.61,0.0
20140117:1810,0.0,0.0,0.0,-0.05,1.7,0.0
20140117:1910,0.0,0.0,0.0,-0.27,1.66,0.0
20140117:2010,0.0,0.0,0.0,-0.5,1.62,0.0
20140117:2110,0.0,0.0,0.0,-0.73,1.59,0.0
20140117:2210,0.0,0.0,0.0,-0.76,1.49,0.0
20140117:2310,0.0,0.0,0.0,-0.79,1.4,0.0
20140118:0010,0.0,0.0,0.0,-0.83,1.31,0.0
20140118:0110,0.0,0.0,0.0,-0.6,1.37,0.0
20140118:0210,0.0,0.0,0.0,-0.36,1.44,0.0
20140118:0310,0.0,0.0,0.0,-0.13,1.5,0.0
20140118:0410,0.0,0.0,0.0,0.16,1.48,0.0
20140118:0510,0.0,0.0,0.0,0.45,1.46,0.0
20140118:0610,0.0,0.0,0.0,0.74,1.43,0.0
20140118:0710,15291000.0,73.31,11.36,1.71,1.32,0.0
20140118:0810,27378000.0,119.47,19.31,2.69,1.2,0.0
20140118:0910,67542000.0,268.32,25.22,3.66,1.09,0.0
20140118:1010,40146000.0,167.73,28.5,3.94,1.25,0.0
20140118:1110,20136000.0,92.71,28.69,4.22,1.4,0.0
20140118:1210,21354000.0,97.44,25.77,4.5,1.56,0.0
20140118:1310,7038000.0,40.73,20.14,3.81,1.43,0.0
20140118:1410,9030000.0,48.87,12.41,3.11,1.29,0.0
20140118:1510,0.0,5.43,3.17,2.42,1.16,0.0
20140118:1610,0.0,0.0,0.0,2.12,1.28,0.0
20140118:1710,0.0,0.0,0.0,1.83,1.41,0.0
20140118:1810,0.0,0.0,0.0,1.53,1.53,0.0
20140118:1910,0.0,0.0,0.0,1.6,1.53,0.0
20140118:2010,0.0,0.0,0.0,1.67,1.52,0.0
20140118:2110,0.0,0.0,0.0,1.74,1.52,0.0
20140118:2210,0.0,0.0,0.0,1.7,1.49,0.0
20140118:2310,0.0,0.0,0.0,1.67,1.46,0.0
20140119:0010,0.0,0.0,0.0,1.63,1.43,0.0
20140119:0110,0.0,0.0,0.0,1.45,1.32,0.0
