time,P,G(i),H_sun,T2m,WS10m,Int
20140626:0110,0.0,0.0,0.0,23.98,0.83,0.0
20140626:0210,0.0,0.0,0.0,23.65,0.7,0.0
20140626:0310,0.0,0.0,0.0,23.33,0.58,0.0
20140626:0410,1854400.0,76.21,12.22,24.16,0.72,0.0
20140626:0510,6352800.0,233.14,23.08,24.99,0.86,0.0
20140626:0610,13263600.0,440.67,34.3,25.82,0.99,0.0
20140626:0710,19726400.0,650.81,45.58,27.08,1.49,0.0
20140626:0810,24639600.0,824.78,56.53,28.33,2.0,0.0
20140626:0910,27804400.0,943.3,66.19,29.59,2.5,0.0
20140626:1010,27770800.0,941.75,72.0,30.04,2.86,0.0
20140626:1110,24595600.0,824.82,70.07,30.48,3.21,0.0
20140626:1210,26706400.0,894.8,61.99,30.92,3.57,0.0
20140626:1310,18778400.0,622.08,51.56,30.59,2.89,0.0
20140626:1410,2890000.0,109.73,40.39,30.26,2.21,0.0
20140626:1510,8889200.0,306.85,29.09,29.93,1.53,0.0
20140626:1610,367200.0,23.65,18.01,28.92,1.12,0.0
20140626:1710,775200.0,38.92,7.4,27.91,0.71,0.0
20140626:1810,0.0,0.0,0.0,26.9,0.3,0.0
20140626:1910,0.0,0.0,0.0,26.42,0.9,0.0
20140626:2010,0.0,0.0,0.0,25.95,1.5,0.0
20140626:2110,0.0,0.0,0.0,25.47,2.1,0.0
20140626:2210,0.0,0.0,0.0,25.09,1.88,0.0
20140626:2310,0.0,0.0,0.0,24.7,1.66,0.0
20140627:0010,0.0,0.0,0.0,24.32,1.43,0.0
20140627:0110,0.0,0.0,0.0,23.99,1.44,0.0
20140627:0210,0.0,0.0,0.0,23.66,1.44,0.0
20140627:0310,0.0,0.0,0.0,23.33,1.45,0.0
20140627:0410,734400.0,36.89,12.16,24.18,1.21,0.0
20140627:0510,4130800.0,147.2,23.02,25.03,0.97,0.0
20140627:0610,7998400.0,268.38,34.24,25.89,0.73,0.0
20140627:0710,9254800.0,309.2,45.52,26.84,0.67,0.0
20140627:0810,14992000.0,500.4,56.47,27.78,0.61,0.0
20140627:0910,20215200.0,688.72,66.13,28.73,0.55,0.0
20140627:1010,26658800.0,936.44,71.95,29.1,0.61,0.0
20140627:1110,24258400.0,842.32,70.06,29.47,0.67,0.0
20140627:1210,25102400.0,872.35,62.0,29.83,0.73,0.0
20140627:1310,22712000.0,766.15,51.57,29.32,1.34,0.0
20140627:1410,17183200.0,568.34,40.4,28.82,1.95,0.0
20140627:1510,10354000.0,356.47,29.11,28.31,2.57,0.0
20140627:1610,3454800.0,149.32,18.02,27.35,1.86,0.0
20140627:1710,910400.0,43.44,7.41,26.38,1.16,0.0
20140627:1810,0.0,0.0,0.0,25.42,0.46,0.0
20140627:1910,0.0,0.0,0.0,24.53,0.39,0.0
20140627:2010,0.0,0.0,0.0,23.65,0.33,0.0
