time,P,G(i),H_sun,T2m,WS10m,Int
20140118:1810,0.0,0.0,0.0,6.01,1.03,0.0
20140118:1910,0.0,0.0,0.0,5.88,1.14,0.0
20140118:2010,0.0,0.0,0.0,5.75,1.24,0.0
20140118:2110,0.0,0.0,0.0,5.62,1.34,0.0
20140118:2210,0.0,0.0,0.0,5.64,1.44,0.0
20140118:2310,0.0,0.0,0.0,5.65,1.55,0.0
20140119:0010,0.0,0.0,0.0,5.66,1.66,0.0
20140119:0110,0.0,0.0,0.0,5.31,1.54,0.0
20140119:0210,0.0,0.0,0.0,4.96,1.43,0.0
20140119:0310,0.0,0.0,0.0,4.6,1.31,0.0
20140119:0410,0.0,0.0,0.0,4.4,1.27,0.0
20140119:0510,0.0,0.0,0.0,4.2,1.24,0.0
20140119:0610,0.0,0.0,0.0,4.0,1.2,0.0
