time,P,G(i),H_sun,T2m,WS10m,Int
20140109:0210,0.0,0.0,0.0,-2.64,1.49,0.0
20140109:0310,0.0,0.0,0.0,-2.99,1.45,0.0
20140109:0410,0.0,0.0,0.0,-3.29,1.45,0.0
20140109:0510,0.0,0.0,0.0,-3.58,1.45,0.0
20140109:0610,0.0,0.0,0.0,-3.87,1.45,0.0
20140109:0710,12219200.0,356.39,10.75,-0.65,1.01,0.0
20140109:0810,19656800.0,576.87,18.47,2.57,0.57,0.0
20140109:0910,25122400.0,768.97,24.14,5.78,0.14,0.0
20140109:1010,27727600.0,863.29,27.17,7.27,0.31,0.0
20140109:1110,27635200.0,863.32,27.16,8.76,0.48,0.0
20140109:1210,24424800.0,754.92,24.13,10.24,0.65,0.0
20140109:1310,20072000.0,610.01,18.45,9.99,0.77,0.0
20140109:1410,11195600.0,343.4,10.73,9.73,0.9,0.0
20140109:1510,0.0,0.0,0.0,9.48,1.02,0.0
20140109:1610,0.0,0.0,0.0,8.39,1.08,0.0
20140109:1710,0.0,0.0,0.0,7.3,1.14,0.0
20140109:1810,0.0,0.0,0.0,6.21,1.2,0.0
20140109:1910,0.0,0.0,0.0,5.33,1.22,0.0
20140109:2010,0.0,0.0,0.0,4.45,1.24,0.0
20140109:2110,0.0,0.0,0.0,3.57,1.26,0.0
20140109:2210,0.0,0.0,0.0,3.04,1.37,0.0
20140109:2310,0.0,0.0,0.0,2.51,1.49,0.0
20140110:0010,0.0,0.0,0.0,1.98,1.6,0.0
20140110:0110,0.0,0.0,0.0,1.25,1.55,0.0
20140110:0210,0.0,0.0,0.0,0.53,1.5,0.0
20140110:0310,0.0,0.0,0.0,-0.19,1.45,0.0
20140110:0410,0.0,0.0,0.0,-0.24,1.47,0.0
20140110:0510,0.0,0.0,0.0,-0.29,1.49,0.0
20140110:0610,0.0,0.0,0.0,-0.34,1.5,0.0
20140110:0710,12314400.0,361.59,10.8,1.34,1.34,0.0
20140110:0810,19254800.0,561.49,18.55,3.01,1.18,0.0
20140110:0910,24746800.0,738.76,24.24,4.68,1.02,0.0
20140110:1010,22264000.0,662.86,27.3,5.71,1.12,0.0
20140110:1110,23950800.0,719.26,27.32,6.74,1.21,0.0
20140110:1210,22466000.0,673.71,24.29,7.76,1.31,0.0
20140110:1310,14738800.0,434.82,18.62,6.58,1.37,0.0
20140110:1410,6022000.0,187.66,10.9,5.39,1.44,0.0
20140110:1510,0.0,0.0,0.0,4.21,1.5,0.0
20140110:1610,0.0,0.0,0.0,3.49,1.55,0.0
20140110:1710,0.0,0.0,0.0,2.76,1.6,0.0
20140110:1810,0.0,0.0,0.0,2.04,1.64,0.0
20140110:1910,0.0,0.0,0.0,2.18,1.74,0.0
20140110:2010,0.0,0.0,0.0,2.32,1.83,0.0
20140110:2110,0.0,0.0,0.0,2.46,1.93,0.0
20140110:2210,0.0,0.0,0.0,1.49,1.89,0.0
20140110:2310,0.0,0.0,0.0,0.52,1.84,0.0
20140111:0010,0.0,0.0,0.0,-0.44,1.79,0.0
20140111:0110,0.0,0.0,0.0,-0.55,1.71,0.0
20140111:0210,0.0,0.0,0.0,-0.66,1.63,0.0
20140111:0310,0.0,0.0,0.0,-0.77,1.54,0.0
20140111:0410,0.0,0.0,0.0,-1.01,1.56,0.0
20140111:0510,0.0,0.0,0.0,-1.25,1.57,0.0
20140111:0610,0.0,0.0,0.0,-1.49,1.59,0.0
20140111:0710,13509600.0,395.78,10.87,0.75,1.13,0.0
20140111:0810,20570400.0,605.42,18.64,2.98,0.67,0.0
20140111:0910,24542800.0,745.96,24.36,5.21,0.21,0.0
20140111:1010,26840000.0,828.56,27.44,6.52,0.33,0.0
20140111:1110,27291600.0,847.7,27.48,7.83,0.45,0.0
20140111:1210,23535600.0,722.03,24.47,9.13,0.57,0.0
20140111:1310,16072000.0,481.2,18.8,8.54,0.82,0.0
20140111:1410,7928800.0,244.56,11.07,7.94,1.08,0.0
20140111:1510,0.0,0.0,0.0,7.34,1.34,0.0
20140111:1610,0.0,0.0,0.0,6.81,1.24,0.0
20140111:1710,0.0,0.0,0.0,6.29,1.14,0.0
20140111:1810,0.0,0.0,0.0,5.76,1.05,0.0
20140111:1910,0.0,0.0,0.0,5.1,1.08,0.0
20140111:2010,0.0,0.0,0.0,4.45,1.1,0.0
20140111:2110,0.0,0.0,0.0,3.79,1.13,0.0
20140111:2210,0.0,0.0,0.0,3.54,1.19,0.0
20140111:2310,0.0,0.0,0.0,3.29,1.24,0.0
20140112:0010,0.0,0.0,0.0,3.05,1.3,0.0
20140112:0110,0.0,0.0,0.0,2.65,1.29,0.0
20140112:0210,0.0,0.0,0.0,2.25,1.28,0.0
20140112:0310,0.0,0.0,0.0,1.86,1.27,0.0
20140112:0410,0.0,0.0,0.0,1.86,1.3,0.0
20140112:0510,0.0,0.0,0.0,1.86,1.32,0.0
20140112:0610,0.0,0.0,0.0,1.86,1.35,0.0
20140112:0710,3114800.0,104.68,10.94,3.32,1.08,0.0
20140112:0810,12033600.0,355.02,18.73,4.78,0.81,0.0
20140112:0910,19756000.0,590.4,24.48,6.23,0.54,0.0
20140112:1010,27072400.0,829.55,27.59,6.97,0.8,0.0
20140112:1110,27720400.0,850.34,27.65,7.71,1.06,0.0
20140112:1210,25335200.0,768.82,24.65,8.45,1.32,0.0
20140112:1310,20226000.0,605.8,18.98,7.97,1.12,0.0
20140112:1410,11204800.0,339.6,11.25,7.48,0.91,0.0
20140112:1510,0.0,0.0,0.0,6.99,0.7,0.0
20140112:1610,0.0,0.0,0.0,6.43,0.88,0.0
20140112:1710,0.0,0.0,0.0,5.87,1.06,0.0
20140112:1810,0.0,0.0,0.0,5.31,1.24,0.0
20140112:1910,0.0,0.0,0.0,4.76,1.27,0.0
20140112:2010,0.0,0.0,0.0,4.2,1.3,0.0
20140112:2110,0.0,0.0,0.0,3.65,1.32,0.0
20140112:2210,0.0,0.0,0.0,2.79,1.44,0.0
20140112:2310,0.0,0.0,0.0,1.94,1.55,0.0
20140113:0010,0.0,0.0,0.0,1.09,1.67,0.0
20140113:0110,0.0,0.0,0.0,0.81,1.66,0.0
20140113:0210,0.0,0.0,0.0,0.53,1.64,0.0
20140113:0310,0.0,0.0,0.0,0.25,1.63,0.0
20140113:0410,0.0,0.0,0.0,-0.09,1.7,0.0
20140113:0510,0.0,0.0,0.0,-0.43,1.77,0.0
20140113:0610,0.0,0.0,0.0,-0.77,1.85,0.0
20140113:0710,13148000.0,385.84,11.02,1.44,1.37,0.0
20140113:0810,20657200.0,608.14,18.84,3.65,0.9,0.0
